,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,35.6,74,74,14.99,CL,1595813940
1,Port-Gentil,-0.72,8.78,74.35,86,60,14.03,GA,1595813941
2,Saint-Philippe,-21.36,55.77,66.2,72,68,4.7,RE,1595813660
3,Deputatsky,69.3,139.9,54.41,70,95,5.61,RU,1595813944
4,Rikitea,-23.12,-134.97,70.38,79,9,19.42,PF,1595813945
5,Tasiilaq,65.61,-37.64,41.0,93,100,8.05,GL,1595813918
6,Thompson,55.74,-97.86,62.6,82,75,2.24,CA,1595813947
7,Clyde River,70.47,-68.59,44.6,81,90,9.17,CA,1595813948
8,Dorchester,33.1,-80.38,81.0,88,1,4.56,US,1595813949
9,Hirara,24.8,125.28,86.0,74,75,13.87,JP,1595813950
10,Matagami,49.75,-77.63,77.0,83,75,3.33,CA,1595813951
11,Kruisfontein,-34.0,24.73,49.5,77,89,4.41,ZA,1595813953
12,Mataura,-46.19,168.86,51.26,59,0,2.04,NZ,1595813954
13,Barrow,71.29,-156.79,48.2,93,90,20.8,US,1595813955
14,Vao,-22.67,167.48,71.44,81,4,15.26,NC,1595813956
15,Lüderitz,-26.65,15.16,57.2,76,0,10.29,NA,1595813957
16,Dombås,62.07,9.12,52.92,84,100,8.03,NO,1595813958
17,Vysokogornyy,50.12,139.15,67.6,81,90,2.77,RU,1595813959
18,Port Alfred,-33.59,26.89,55.51,69,93,6.49,ZA,1595813927
19,Jamestown,42.1,-79.24,73.99,73,1,4.7,US,1595813962
20,Mar del Plata,-38.0,-57.56,52.0,81,90,10.29,AR,1595813963
21,New Norfolk,-42.78,147.06,53.01,76,100,2.08,AU,1595813964
22,Yar-Sale,66.83,70.83,52.18,69,100,9.57,RU,1595813965
23,Lavrentiya,65.58,-171.0,63.0,58,100,16.6,RU,1595813966
24,Fortuna,40.6,-124.16,64.99,73,74,1.99,US,1595813967
25,Ostrovnoy,68.05,39.51,61.07,78,85,0.72,RU,1595813968
26,Ushuaia,-54.8,-68.3,33.8,86,90,27.51,AR,1595813911
27,Codrington,-38.27,141.97,54.73,71,11,19.33,AU,1595813970
28,Peniche,39.36,-9.38,64.0,91,0,8.99,PT,1595813972
29,Kapaa,22.08,-159.32,82.4,78,90,21.92,US,1595813751
30,Busselton,-33.65,115.33,66.0,70,91,22.35,AU,1595813922
31,Bengkulu,-3.8,102.27,81.39,68,4,4.34,ID,1595813975
32,Cagliliog,13.9,123.29,87.4,68,77,2.26,PH,1595813976
33,Zapolyarnyy,69.42,30.81,57.2,82,75,13.87,RU,1595813977
34,Vaini,-21.2,-175.2,69.8,94,75,11.41,TO,1595813978
35,Bluff,-46.6,168.33,49.91,66,0,6.2,NZ,1595813755
36,Fairbanks,64.84,-147.72,69.8,43,75,11.41,US,1595813855
37,Kyra,49.58,111.98,64.17,83,100,5.93,RU,1595813982
38,East London,-33.02,27.91,58.84,67,97,9.69,ZA,1595813666
39,Chui,-33.7,-53.46,46.65,89,5,6.76,UY,1595813984
40,Hermanus,-34.42,19.23,45.0,87,0,12.66,ZA,1595813985
41,Albany,42.6,-73.97,81.0,61,87,5.73,US,1595813726
42,Saraland,30.82,-88.07,78.8,83,1,5.82,US,1595813987
43,Nikolskoye,59.7,30.79,55.0,100,0,2.84,RU,1595813988
44,Hobart,-42.88,147.33,53.01,81,90,4.83,AU,1595813872
45,Padang,-0.95,100.35,77.0,88,20,1.12,ID,1595813961
46,Ilulissat,69.22,-51.1,44.6,93,100,3.36,GL,1595813992
